Launching API Gateway in EMT mode...
Setting Java heap size to 1024 MB
ERROR   08/Mar/2022:01:12:35.193 [0050:000000000000000000000000] error handling connection: Success. SSL system call failed
ERROR   08/Mar/2022:01:12:35.193 [0056:000000000000000000000000] error handling connection: Success. SSL system call failed
ERROR   08/Mar/2022:01:12:35.193 [0057:000000000000000000000000] error handling connection: Success. SSL system call failed
ERROR   08/Mar/2022:01:12:35.194 [0056:000000000000000000000000] error handling connection: Success. SSL system call failed
ERROR   08/Mar/2022:01:12:35.194 [0050:000000000000000000000000] error handling connection: Success. SSL system call failed
ERROR   08/Mar/2022:01:12:35.194 [0058:000000000000000000000000] error handling connection: Success. SSL system call failed
INFO    08/Mar/2022:01:12:35.504 [004d:000000000000000000000000] API-Client-Cache - Ready to accept requests
ERROR   08/Mar/2022:01:12:36.887 [0059:84ad26620a0075fa1fe3a3c9] The message [Id-84ad26620a0075fa1fe3a3c9] logged Failure at 03.08.2022 01:12:36,786 with log description: Filter failed
ERROR   08/Mar/2022:01:12:39.155 [005b:000000000000000000000000] error handling connection: Success. SSL system call failed
ERROR   08/Mar/2022:01:12:41.391 [004f:89ad26620c00f4df472c93ac] The message [Id-89ad26620c00f4df472c93ac] logged Failure at 03.08.2022 01:12:41,390 with log description: Filter failed
ERROR   08/Mar/2022:01:12:46.388 [0053:8ead26620d0026f7ccf1791e] The message [Id-8ead26620d0026f7ccf1791e] logged Failure at 03.08.2022 01:12:46,387 with log description: Filter failed
ERROR   08/Mar/2022:01:12:51.391 [005b:93ad26620e0011797febb4b7] The message [Id-93ad26620e0011797febb4b7] logged Failure at 03.08.2022 01:12:51,390 with log description: Filter failed
ERROR   08/Mar/2022:01:12:56.387 [004f:98ad26621400b0497e338b89] The message [Id-98ad26621400b0497e338b89] logged Failure at 03.08.2022 01:12:56,387 with log description: Filter failed
ERROR   08/Mar/2022:01:13:01.389 [0055:9dad2662150084af4865a869] The message [Id-9dad2662150084af4865a869] logged Failure at 03.08.2022 01:13:01,389 with log description: Filter failed
ERROR   08/Mar/2022:01:13:06.389 [005b:a2ad26621600ae46d518ff53] The message [Id-a2ad26621600ae46d518ff53] logged Failure at 03.08.2022 01:13:06,389 with log description: Filter failed
ERROR   08/Mar/2022:01:13:11.389 [005b:a7ad26621c00f09ec2252aa6] The message [Id-a7ad26621c00f09ec2252aa6] logged Failure at 03.08.2022 01:13:11,389 with log description: Filter failed
ERROR   08/Mar/2022:01:13:16.387 [0053:acad26621d001c35885e92d8] The message [Id-acad26621d001c35885e92d8] logged Failure at 03.08.2022 01:13:16,387 with log description: Filter failed
ERROR   08/Mar/2022:01:13:21.388 [0053:b1ad26621e00c7e16b183bd6] The message [Id-b1ad26621e00c7e16b183bd6] logged Failure at 03.08.2022 01:13:21,388 with log description: Filter failed
INFO    08/Mar/2022:01:13:24.317 [005b:b4ad266223003a302ba3ac7b] loaded netservice library
ERROR   08/Mar/2022:01:13:24.319 [005b:b4ad266223003a302ba3ac7b] The message [Id-b4ad266223003a302ba3ac7b] logged Failure at 03.08.2022 01:13:24,318 with log description: Filter failed
ERROR   08/Mar/2022:01:13:26.389 [0068:b6ad26625400e1a701e186a2] The message [Id-b6ad26625400e1a701e186a2] logged Failure at 03.08.2022 01:13:26,388 with log description: Filter failed
ERROR   08/Mar/2022:01:13:31.391 [0069:bbad26625500e7b5ad08577d] The message [Id-bbad26625500e7b5ad08577d] logged Failure at 03.08.2022 01:13:31,390 with log description: Filter failed
ERROR   08/Mar/2022:01:13:35.283 [007f:000000000000000000000000] error handling connection: Success. SSL system call failed
ERROR   08/Mar/2022:01:13:36.390 [0080:c0ad26626700b2d5d6fb4c54] The message [Id-c0ad26626700b2d5d6fb4c54] logged Failure at 03.08.2022 01:13:36,390 with log description: Filter failed
ERROR   08/Mar/2022:01:13:41.482 [0093:c5ad26629b00c65cc7cf2a2e] The message [Id-c5ad26629b00c65cc7cf2a2e] logged Failure at 03.08.2022 01:13:41,390 with log description: Filter failed
ERROR   08/Mar/2022:01:13:46.390 [009b:caad2662a400edcd2faf07d5] The message [Id-caad2662a400edcd2faf07d5] logged Failure at 03.08.2022 01:13:46,389 with log description: Filter failed
